1: ((0.2221, -0.6455, 0.3785, 0.3484, -1.6884, 1.3146), (-0.3641, 0.2739, 0.1243, 1.6421, 1.1902, 0.9675))
2: ((0.2631, -0.4264, 0.3427, 1.6614, 1.6687, -1.124), (-0.2887, 0.4938, 0.0798, 2.3369, 0.9703, 0.8774))
3:((-0.0079, -0.5507, 0.4078, -0.8471, -1.3965, 1.1808), (-0.5976, 0.3548, 0.1663, -2.0299, -0.9674, -1.1859))
4: ((0.0868, -0.4426, 0.375, -0.0467, -0.4139, -0.2081), (-0.4548, 0.5308, 0.2197, 2.6749, 1.2281, 0.3867))
5: ((0.0221, -0.8856, 0.3272, 1.4258, 0.6593, -0.7505), (-0.4268, 0.0414, 0.0535, 1.3902, -0.8037, -0.905))
6: ((0.177, -0.2283, 0.8107, 0.3783, 1.3937, 0.1715), (-0.2002, 0.7041, 0.5483, 1.2096, -1.3572, -1.6056))
7: ((-0.0472, -0.1644, 0.5108, 2.1545, 1.4873, 0.0844), (-0.5146, 0.7159, 0.1788, -0.5173, -1.6708, -1.7768))
8: ((0.4872, -0.1975, 0.0251, 0.0187, 2.6713, 0.1332), (0.0035, 0.7205, -0.2718, -1.7136, -1.6204, -1.2208))
9: ((0.3103, -0.6266, 0.7065, 0.2059, -0.1696, -2.4684), (-0.2097, 0.3299, 0.5571, -1.6425, 2.3981, -0.0415))
10: ((0.3089, -0.3815, 0.4363, 1.7529, -0.1339, -1.9123), (-0.1906, 0.5469, 0.1916, -0.8334, -1.604, 0.3688))
